epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.02,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,410.757,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64599,1.06035,1.3735,1.14288e-06,1.14288e-06,1.14288e-06
3,433.145,1.16018,3.63363,1.57321,0.55956,0.85,0.85066,0.61611,1.66666,1.06109,1.37915,2.1915e-06,2.1915e-06,2.1915e-06
4,441.732,1.27776,2.74102,1.38886,0.56026,0.85,0.84952,0.61586,1.66077,1.0536,1.37793,3.14588e-06,3.14588e-06,3.14588e-06
5,453.33,1.37249,3.09052,1.72683,0.56527,0.85,0.85526,0.63771,1.65931,1.04101,1.37162,4.00602e-06,4.00602e-06,4.00602e-06
6,464.049,1.56294,4.1199,1.96557,0.54266,0.85,0.8936,0.63826,1.68712,1.05977,1.37826,4.7719e-06,4.7719e-06,4.7719e-06
7,474.249,1.14377,1.92075,1.42281,0.53912,0.85271,0.89406,0.64297,1.68545,1.05897,1.37757,5.44354e-06,5.44354e-06,5.44354e-06
8,478.043,1.37055,4.02938,1.61406,0.54916,0.86065,0.85911,0.61256,1.64432,1.0577,1.35292,6.02092e-06,6.02092e-06,6.02092e-06
9,485.571,1.12992,2.73591,1.41905,0.56953,0.86435,0.81826,0.6116,1.66647,1.05941,1.36356,6.50406e-06,6.50406e-06,6.50406e-06
10,492.113,1.18824,3.50667,1.59786,0.581,0.86443,0.81412,0.59541,1.66252,1.06125,1.35816,6.89296e-06,6.89296e-06,6.89296e-06
11,496.156,1.22456,2.52428,1.46292,0.59093,0.86451,0.856,0.63695,1.66348,1.06575,1.3589,7.1876e-06,7.1876e-06,7.1876e-06
12,500.822,1.00421,2.0875,1.37459,0.59005,0.86291,0.85561,0.63773,1.67447,1.07658,1.36716,7.388e-06,7.388e-06,7.388e-06
13,504.202,0.89405,2.34499,1.14731,0.5927,0.86667,0.85489,0.63766,1.66544,1.073,1.36096,7.49414e-06,7.49414e-06,7.49414e-06
14,508.064,1.16216,2.24496,1.56022,0.60691,0.86667,0.88825,0.64429,1.6672,1.09662,1.3637,7.50604e-06,7.50604e-06,7.50604e-06
15,513.954,0.99701,1.7826,1.16361,0.75475,0.65524,0.88272,0.64319,1.67198,1.10546,1.36761,7.4237e-06,7.4237e-06,7.4237e-06
16,528.036,0.72573,1.30006,1.06057,0.60643,0.86667,0.8789,0.64476,1.66876,1.11019,1.3683,7.2471e-06,7.2471e-06,7.2471e-06
17,531.423,0.81066,1.61727,1.13315,0.63702,0.86648,0.87674,0.64439,1.66493,1.1179,1.36907,6.97626e-06,6.97626e-06,6.97626e-06
18,534.495,0.80465,1.72984,1.28792,0.63702,0.86648,0.87674,0.64439,1.66493,1.1179,1.36907,6.61116e-06,6.61116e-06,6.61116e-06
19,537.923,0.87066,2.15997,1.37784,0.62773,0.86554,0.87244,0.63504,1.64878,1.13733,1.36424,6.15182e-06,6.15182e-06,6.15182e-06
20,541.133,0.98583,2.3125,1.57706,0.62773,0.86554,0.87244,0.63504,1.64878,1.13733,1.36424,5.59824e-06,5.59824e-06,5.59824e-06
21,544.392,0.98722,1.53552,1.46736,0.65024,0.86431,0.86395,0.62899,1.65655,1.17201,1.3689,4.9504e-06,4.9504e-06,4.9504e-06
22,547.805,0.78432,1.09122,1.06248,0.65024,0.86431,0.86395,0.62899,1.65655,1.17201,1.3689,4.20832e-06,4.20832e-06,4.20832e-06
23,551.221,0.88856,1.11273,1.13028,0.64923,0.86058,0.85804,0.63286,1.64805,1.17498,1.3713,3.37198e-06,3.37198e-06,3.37198e-06
24,556.022,0.9438,1.97853,1.31772,0.64923,0.86058,0.85804,0.63286,1.64805,1.17498,1.3713,2.4414e-06,2.4414e-06,2.4414e-06
25,559.888,0.73419,1.09121,1.03073,0.66352,0.86225,0.85683,0.63197,1.65273,1.19459,1.37842,1.41658e-06,1.41658e-06,1.41658e-06
